,rarity,rarity_rank
0,158.30941402119288,5060
1,230.20579359036722,1672
2,191.38800505549534,3106
3,117.26264905963268,7530
4,166.84979788334832,4497
5,145.45577837665914,5884
6,78.40131167156551,8678
7,793.0153394242698,105
8,331.62643957118087,450
9,120.61891602766296,7363
10,221.59203742017962,1873
11,172.49507889062465,4130
12,566.087584389924,206
13,188.57274660972706,3261
14,176.98005260950242,3875
15,205.48788955422248,2446
16,121.86310538375116,7303
17,124.2651776538836,7179
18,168.0977565365324,4407
19,236.34928519932413,1520
20,101.69279056389553,8124
21,125.13837323610838,7136
22,120.41059522358543,7377
23,656.0413379582641,175
24,145.4593887916555,5883
25,147.29407238295585,5773
26,128.91473850740095,6906
27,194.88862178433746,2935
28,170.66255042063645,4260
29,159.45191719184666,4983
30,195.7118326738324,2898
31,98.72762177615681,8220
32,172.9441128313138,4099
33,1176.6720374430831,34
34,132.32801594139775,6695
35,152.9986407852877,5384
36,162.19951148723314,4806
37,129.68782912786165,6851
38,159.84229333036347,4962
39,114.01839093783603,7653
40,167.58782962403575,4445
41,106.91634046348948,7959
42,232.41688438616276,1633
43,255.73153808745522,1095
44,180.1175365789711,3702
45,256.1854058797361,1085
46,103.21016858229044,8064
47,188.46224353793997,3270
48,146.9125834068568,5791
49,184.81916298662722,3446
50,181.04418448943392,3652
51,158.69564468807306,5034
52,207.17368217458068,2386
53,835.532574287465,88
54,147.49000604341882,5759
55,51.1336945747098,8882
56,314.7891809553074,501
57,74.64589922863459,8730
58,125.94755687118999,7092
59,208.1986881613323,2338
60,1572.5029779563943,12
61,337.4918718678915,427
62,161.2543392013993,4873
63,188.9379313229482,3241
64,164.46937944528005,4657
65,102.89853239628017,8073
66,197.24639756784103,2829
67,282.72849084058805,712
68,110.61339681982658,7807
69,118.84767096167387,7467
70,99.1181558229352,8208
71,143.97974438780324,5980
72,282.79053302814975,711
73,255.56937195150917,1098
74,221.26632157621492,1888
75,118.60496256375903,7485
76,321.9408874552146,485
77,103.81967313105092,8049
78,198.1818900134225,2783
79,117.24371736446044,7531
80,284.8693314894349,685
81,105.0065919795785,8012
82,494.27182698056697,274
83,76.27638059245655,8710
84,106.45488922825508,7973
85,116.86284387647171,7548
86,88.50513487810966,8485
87,217.78503922027755,1993
88,161.87607606667333,4830
89,381.95058432947064,355
90,338.2483293903191,423
91,121.7804958731331,7306
92,408.7863518884679,334
93,117.02781889201103,7540
94,221.2903947921239,1886
95,79.48163225622113,8665
96,107.16128176020824,7945
97,306.7514215129563,543
98,541.6796240857952,220
99,314.67172540498007,503
100,212.0775222075254,2199
101,166.14971187361098,4546
102,208.93360269899506,2316
103,70.16316565474779,8773
104,125.5241764016526,7116
105,208.51714985188318,2327
106,180.08727662232795,3706
107,229.19136618756252,1702
108,119.54471362711003,7424
109,128.03509916385957,6965
110,485.2521135391977,286
111,230.97484108228008,1663
112,114.29621434845699,7639
113,130.6362880728741,6794
114,124.6974967869253,7158
115,232.59918249954407,1625
116,98.49202543673755,8229
117,362.85641717409476,377
118,99.05225558383884,8211
119,793.8944268516768,103
120,221.88624934766443,1861
121,262.4664927980758,978
122,141.13231219487471,6154
123,229.7438266516864,1686
124,289.7108538342449,647
125,227.79899713479938,1729
126,131.74997625901142,6735
127,94.19834542031865,8338
128,254.91028902120937,1112
129,536.2594022469914,224
130,247.37118402356123,1264
131,157.14209870333013,5114
132,77.74199792751062,8686
133,87.89554523937689,8500
134,137.97440350844306,6350
135,186.97886001681226,3335
136,61.80125614460216,8824
137,201.52915950842507,2634
138,771.0413001109707,116
139,83.38294503195536,8603
140,110.34849919057591,7816
141,125.38396281911756,7122
142,189.6042997621609,3208
143,205.73674238744042,2436
144,65.47297144571348,8807
145,91.74824372808096,8415
146,131.29421448920746,6770
147,147.0459913914123,5788
148,132.2124755332092,6702
149,100.68359924274684,8156
150,151.3350104622917,5498
151,282.4425260582401,718
152,117.45227713011184,7524
153,131.87181139877947,6724
154,167.21311214140047,4470
155,185.00520352996193,3433
156,178.57030950770604,3789
157,242.29717649994,1388
158,164.72963335953577,4637
159,85.44225770988166,8558
160,162.36168694938436,4798
161,136.26593952538067,6449
162,158.70898052377817,5033
163,563.911403345065,209
164,148.58970463689533,5675
165,60.66002239432989,8829
166,253.64876151807425,1130
167,114.65981116980774,7623
168,82.20096570613575,8620
169,238.03025209536136,1482
170,204.75560714034424,2477
171,243.38358702092353,1363
172,879.9290203166508,74
173,165.2182607534892,4606
174,110.66948653652167,7805
175,163.7970236087894,4701
176,173.18589630878373,4085
177,253.10707748325768,1147
178,240.84430403615167,1419
179,206.69315598019216,2405
180,210.0648511168029,2277
181,194.9453489468607,2930
182,190.98522711758937,3129
183,134.634745061829,6555
184,102.11080646121917,8112
185,184.8723557862347,3439
186,165.44714391622244,4590
187,186.40588621097118,3365
188,201.26630165314867,2647
189,156.73551164529664,5149
190,183.041679872605,3558
191,832.25460533647,91
192,225.123416098352,1786
193,180.78310803455472,3672
194,85.08119468011789,8564
195,149.34748148335055,5618
196,197.04097059582023,2837
197,156.99790485506063,5129
198,170.80187752507265,4246
199,56.04677612112514,8866
200,138.56405155053125,6306
201,96.10353212325683,8284
202,215.74105812398898,2065
203,175.79109175103534,3943
204,163.489108580451,4723
205,232.46581248166137,1629
206,123.14418608000787,7243
207,169.03201552667468,4347
208,95.72117759401944,8292
209,316.3194487651952,499
210,241.90931594209542,1396
211,211.30344163323934,2232
212,227.004132494796,1747
213,241.14654731708245,1410
214,119.77346283296461,7415
215,239.46414533021954,1451
216,111.70706101688562,7758
217,145.94450873993188,5851
218,215.05451587799087,2087
219,176.0270389162219,3928
220,260.09868930026596,1010
221,376.43961703653076,361
222,363.7701564667816,375
223,179.80368307964483,3718
224,177.25147974823147,3860
225,162.059478634851,4817
