TOKEN_ID,rarity,last_sale_price,counts
3501,272.3763557832143,4.78,2.0
3506,340.30004805026635,7.5,1.0
3507,387.4704125067977,6.25,2.0
3511,316.43969162377255,6.4,4.0
3526,528.7153386122395,9.99,2.0
3528,243.22989208326115,5.47,2.0
3531,984.6413243540518,7.0,1.0
3537,350.018876275899,5.69,1.0
3539,1388.6207922827662,9.99,1.0
3540,231.39840354213277,6.66,5.0
3542,490.2042713752566,6.5,3.0
3544,951.3284537140985,8.5,1.0
3551,485.20873221366685,4.75,2.0
3555,513.9151841481154,6.48,6.0
3564,509.14545511499335,5.99,2.0
3569,162.70752763798953,5.18,2.0
3570,402.03761961983656,3.95,1.0
3574,284.81027728681477,4.6431,2.0
3575,197.97367523655976,6.4,2.0
3580,222.38540705414658,7.0,1.0
3581,1913.862538487248,19.99,3.0
3583,379.1582972114523,6.7489,2.0
3585,522.8296581633924,6.89,4.0
3587,485.70703416393565,19.0,2.0
3593,837.7463541113416,15.0,2.0
3594,445.0342349992826,6.66,1.0
2704,662.9102684668175,4.35,2.0
2705,1073.8055519914867,6.4,1.0
2710,646.4460718116784,6.5,1.0
2711,232.14476963655113,3.0,1.0
2712,357.2581388569329,4.59,3.0
2713,318.45778191384755,4.85,3.0
2715,259.49168715952385,11.0,1.0
2724,694.1666370574885,6.49,2.0
2726,246.2455021011244,5.0,1.0
2731,359.02296049997756,4.2,2.0
2735,320.98650572123154,4.96,4.0
2737,197.44459764093665,4.487,2.0
2739,617.7894961930713,5.299,1.0
2740,829.6825486954594,6.35,3.0
2741,345.78514866029593,1.99,1.0
2743,18734.90276472827,88.88,2.0
2748,182.86801959530797,7.0,2.0
2750,398.4865246311614,4.4,3.0
2753,488.71907264274836,2.5,1.0
2754,206.6040374930003,5.47,3.0
2757,258.9269703567975,3.8,1.0
2758,389.2132095972176,4.28,2.0
2762,334.7493887101425,5.94999999,2.0
2764,593.2297270774263,12.969,4.0
2768,641.9695429344745,20.0,1.0
2769,242.39164876755723,3.0,1.0
2776,845.0825137450299,7.0,3.0
2778,582.4516072773243,11.0,3.0
2779,491.511265787997,7.0,1.0
2783,202.12518005788226,6.55,3.0
2788,689.565455735156,6.75,3.0
2797,254.35603970809458,4.75,1.0
3302,297.9781934128996,11.0,4.0
3304,240.44883299899246,3.999,6.0
3305,210.08944779633617,2.99,1.0
3307,695.9072169684721,9.39,5.0
3309,2118.2999605329555,6.9,1.0
3310,941.7599054247523,27.0,1.0
3312,460.3343011442697,6.54,2.0
3314,248.5170882357515,13.95,3.0
3317,591.1743997443592,24.0,2.0
3318,264.1757303969812,2.78,1.0
3321,526.591324099648,5.4,3.0
3322,508.31237344554086,7.495,2.0
3325,321.2031339694823,3.99,1.0
3326,254.25917575630146,4.2,1.0
3327,544.5447163275842,10.0,1.0
3328,492.6237004603621,6.1,1.0
3330,620.6697143764584,7.77,3.0
3332,349.5442547355629,5.2,2.0
3337,310.8207326824646,5.98,2.0
3339,253.16694434293603,6.7,2.0
3342,401.9584956873982,8.0,1.0
3343,557.8873478853438,10.0,1.0
3345,387.14922200129377,2.3,1.0
3346,390.6719901204663,4.35,2.0
3349,240.8233592226295,4.65,8.0
3351,499.85328733592445,5.4,2.0
3352,389.76478329674944,5.75,1.0
3354,321.5689334544922,6.4,2.0
3355,1083.410323891219,5.7,2.0
3366,266.3584994933675,8.0,3.0
3368,410.7739441072846,5.3,2.0
3369,309.340774539476,5.2,3.0
3375,596.5340215391348,11.1,2.0
3376,446.80406470285953,4.8,4.0
3381,493.2028477578404,5.19,3.0
3382,157.53765017645844,6.4,1.0
3388,529.9419514715586,5.9869,2.0
2402,644.5150246108013,6.65,2.0
2405,1192.8555074239528,7.0,1.0
2406,204.69733645937097,1.95,1.0
2411,673.9827299982478,31.0,1.0
2412,339.6451278736007,8.0,2.0
2413,881.5944846379198,0.1,1.0
2416,275.6312713542294,4.88,2.0
2419,540.0946326659466,5.4,1.0
2420,303.9972727085884,1.9,1.0
2436,694.4739344630909,10.5,1.0
2439,187.35928331291336,6.89,1.0
2440,371.76508616745605,30.0,1.0
2443,462.05934615780996,5.25,2.0
2448,1028.4089364267045,13.0,2.0
2450,440.3864910402003,5.88,3.0
2455,569.943730624931,7.0,4.0
2456,502.9203374798183,3.0,1.0
2460,468.3252923673401,4.88,2.0
2461,691.8611835660324,5.3,2.0
2463,695.9581277172572,6.59,3.0
2464,177.51095771403556,6.5,3.0
2466,455.97642520753703,8.2,1.0
2469,706.9089431602031,6.336,2.0
2472,253.14533323767478,4.35,3.0
2473,301.31139629095975,6.1,2.0
2474,1650.0045288555145,35.55,1.0
2478,423.02713974311536,10.0,1.0
2482,736.3153688923232,8.0,1.0
2483,310.2575694711252,7.0,1.0
2485,852.2790796261095,6.1,1.0
2487,256.1151461949631,6.9,1.0
2490,364.74077826589183,6.15,2.0
2491,317.4354811895558,4.8,2.0
2493,275.888956361868,4.89,2.0
2494,653.024395516185,6.75,3.0
2499,380.0227267025139,8.88,3.0
2500,207.73189342575625,6.0,2.0
3401,234.46431196729716,3.95,1.0
3403,224.54922610549858,6.0,4.0
3405,684.5863097032407,5.5,1.0
3406,450.1364990326472,5.75,4.0
3407,462.78555645686475,38.7,2.0
3409,286.8710362733862,6.5,5.0
3410,402.07371895793074,6.9,2.0
3411,209.5862659989785,6.0,3.0
3414,1177.5615658331471,88.88,1.0
3418,253.4451028358219,7.35,4.0
3428,922.7083750279161,5.0,1.0
3430,324.07547362810794,9.489,1.0
3436,839.860360331786,7.5,1.0
3438,387.7991574110384,3.799,1.0
3441,280.9713730638776,7.5,1.0
3443,729.1391052444181,6.99,4.0
3448,607.179881731655,5.33,1.0
3450,320.2872900731053,5.0,1.0
3452,927.3710713699712,10.6969,2.0
3453,247.79260314522054,8.5,1.0
3460,406.3622243144645,7.2,3.0
3461,461.0404054451324,5.79,1.0
3462,483.1573925120809,3.88,1.0
3466,377.91194052100724,5.07,5.0
3474,339.1578477257594,4.9,3.0
3478,1183.7323677858433,35.0,1.0
3485,959.9446598617861,3.0,1.0
3491,877.0111096427094,8.49,3.0
3495,227.85117444095224,6.5,3.0
3496,235.43725419159676,6.66,1.0
3497,283.4126965444429,5.999,1.0
301,288.4146857126248,5.198,2.0
303,895.3485129242938,13.0,2.0
305,1040.444024563384,11.49,4.0
306,408.23299512029644,4.75,2.0
311,231.2409314516318,2.67,3.0
312,325.85406624889913,5.3,4.0
317,553.2136949191066,8.5,4.0
321,1135.3951569293613,3.969,1.0
324,538.5218157201574,8.88,1.0
326,595.1482019511161,3.0,1.0
328,640.6139090899239,4.67,1.0
332,428.20521101474617,5.49,2.0
333,312.50225065955874,5.2,4.0
334,571.9361247295425,7.0,2.0
335,611.3537518708191,17.0,1.0
338,248.30736487716695,5.51,2.0
340,417.99314613429044,4.9,1.0
341,387.16707523985673,6.89,1.0
347,542.1242285121803,3.5,1.0
350,298.8034768858209,4.3,1.0
355,389.9462788079169,3.99,2.0
358,169.96320804881196,6.7,6.0
359,279.5642268002126,4.5,1.0
360,275.936080309391,6.2,3.0
361,571.1472794901889,3.7,1.0
362,466.2223105993173,6.83,1.0
364,348.8044692085477,2.25,3.0
365,1173.461398884655,9.75,3.0
367,503.0865169886778,21.0,1.0
369,975.8495116824405,13.7,3.0
373,505.1294125706118,6.5,3.0
376,318.6037341156633,4.0,1.0
377,618.2586575950129,5.2,3.0
378,180.93733949760883,6.66,1.0
379,210.3601876593387,6.3,4.0
383,649.0109985521844,9.0,1.0
387,597.8730658474706,4.069,2.0
391,359.898734910804,7.777,1.0
393,349.57084744464146,5.9,1.0
395,195.44834288108183,2.5,1.0
396,315.5411969394105,5.585,2.0
398,538.0862017665371,15.25,1.0
501,459.66496737088033,6.0,1.0
503,237.10925952552242,6.5,5.0
505,951.2366365101013,15.0,1.0
506,543.9806764106573,6.75,1.0
507,517.101706527301,5.58,2.0
515,584.8775056833613,10.0,1.0
517,869.1502006681172,1.65,1.0
518,216.23796087968591,7.0,2.0
524,307.11020046823535,6.85,1.0
526,166.33268829834196,5.0,1.0
527,728.2355727193667,5.75,3.0
528,580.2560952614365,16.0,1.0
530,487.12438841685565,6.9,1.0
531,291.0991583609991,7.25,3.0
