TOKEN_ID,rarity,last_sale_price,counts
8801,205.8599754641869,2.99,3.0
8802,174.5023180033078,1.5,3.0
8803,134.46362741502548,0.405,1.0
8805,129.65558482354805,1.19,8.0
8806,198.83184320470988,2.5,3.0
8808,213.45671521552464,0.0909,1.0
8810,168.63923674151934,0.4399,3.0
8811,215.1671589639598,0.08,2.0
8812,146.0168132717074,1.9,5.0
8813,191.21479344524823,0.11,1.0
8814,208.22617144674598,2.5,3.0
8815,124.08039208394932,2.3,4.0
8816,172.0536896100208,0.18,3.0
8817,124.04055829193632,0.31,3.0
8818,249.03307704839446,0.98,3.0
8819,184.1902272263714,0.3599,3.0
8820,172.45197931758207,0.393,2.0
8821,146.47597330949523,1.55,4.0
8822,232.18143888991062,0.95,2.0
8823,140.75513737773454,1.65,4.0
8824,268.785642612841,0.25,3.0
8825,218.48592464294896,0.0598,3.0
8829,72.43941719478501,0.129,2.0
8831,172.4451678590529,2.3,6.0
8832,167.21947595838725,0.35,3.0
8833,144.83922983975512,0.089,1.0
8834,135.09098025843502,1.3,3.0
8835,129.3387623844872,0.129,1.0
8836,177.09962595392514,0.48,3.0
8837,237.69115634473224,0.48,3.0
8838,177.31422528209458,0.13,2.0
8839,220.608997184116,0.19,3.0
8840,115.19742124399534,0.069,4.0
8841,138.55464277604034,0.1355,2.0
8842,121.27464200044174,0.3,5.0
8843,175.39485323176484,0.089,1.0
8844,126.24081914995446,0.138,2.0
8845,161.90638452727464,2.5,7.0
8846,183.66295893791482,3.99,5.0
8848,126.67262321334482,0.085,1.0
8849,469.2288611792384,0.23,2.0
8850,216.34105639589657,0.9998,4.0
8851,176.38641982832067,0.159,4.0
8852,132.29708850498338,0.09,1.0
8853,165.62214742230645,0.09,1.0
8854,138.16094864776687,0.37,2.0
8855,130.68984440267334,0.074,3.0
8858,205.33307424442046,0.19,1.0
8861,162.10367898977546,0.07,1.0
8862,245.0196083712779,0.7,1.0
8863,78.11824523358888,0.92,4.0
8864,139.4184920602564,0.36,1.0
8865,112.85647532478812,2.15,5.0
8866,188.53149748676475,0.214,3.0
8867,171.31298494725536,3.5,2.0
8868,123.69930238298187,0.16,2.0
8869,173.57063994832606,0.5,1.0
8871,100.80712989246484,0.058,2.0
8874,122.62387218045112,0.38,1.0
8875,293.6770381069903,0.69,1.0
8876,142.30216037920414,3.0,6.0
8877,115.07412218045113,0.25,1.0
8878,295.8358762562578,0.95,2.0
8879,81.58952420354598,3.32,3.0
8881,167.00697447648514,0.75,3.0
8882,129.64159411855596,0.056,4.0
8883,230.46582217910088,0.75,4.0
8884,143.1642111666392,0.195,3.0
8885,175.33455579984567,0.33,2.0
8886,410.53642616600007,0.5,2.0
8889,119.25896257502933,2.85,8.0
8890,152.8253325271341,0.87,2.0
8891,288.9477678468458,0.135,1.0
8892,577.2902787095509,1.0,3.0
8893,178.66955357944312,0.25,4.0
8894,115.00149822969186,3.2,5.0
8896,299.06952177478,0.8,1.0
8897,173.16536497158657,0.0789,2.0
8898,149.83368961002083,1.49,4.0
8899,169.77966910887602,0.3999,1.0
8900,180.174942305552,1.777,1.0
8902,136.34232331980257,0.09,1.0
8903,209.79711181178754,0.444,6.0
8904,109.53063837356895,1.6,3.0
8905,186.1371983323321,0.08,2.0
8906,188.2086673363175,0.77,2.0
8907,141.38390522779477,0.8,7.0
8908,135.2506487882928,0.059,3.0
8909,153.06396936433646,2.05,2.0
8910,291.1373831237237,0.5969,1.0
8911,133.87977310819812,0.092,1.0
8912,213.49584661434392,2.49,6.0
8913,140.5548511416994,2.77,2.0
8914,160.37624678161,1.65,5.0
8915,226.19944300508786,0.055,1.0
8916,137.732992453557,2.5,2.0
8917,142.61627553944024,2.5,1.0
8918,142.9077096544595,1.49,2.0
8919,198.06862944122662,0.3,1.0
8920,145.149861657906,0.5849,4.0
