TOKEN_ID,rarity,last_sale_price,counts
4001,430.72850631935603,8.0,3.0
4003,166.7478370551652,0.55,1.0
4004,265.7870839460221,5.9,3.0
4007,300.1102428453418,2.15,2.0
4008,186.23610284194646,0.55,4.0
4009,184.2863479399857,9.69452,5.0
4011,188.52447518826884,0.5,1.0
4012,188.09361744816056,1.199,2.0
4013,374.69135717057026,12.22,4.0
4014,192.25040454770522,9.0,3.0
4015,257.2702695396972,13.5,3.0
4016,224.89342794908447,0.05,6.0
4017,507.94819819819827,12.9,2.0
4018,190.0671708539072,10.15,5.0
4021,140.47683376994522,0.75,5.0
4022,139.2689298872312,0.045,1.0
4023,205.6277485045616,5.3,4.0
4024,138.36707688748783,5.4,8.0
4025,212.93383354389425,0.04,2.0
4026,234.72768202691066,0.03,1.0
4027,242.09778157465954,10.0,9.0
4028,276.589772386088,0.2,4.0
4029,230.09130684568248,0.025,1.0
4031,211.5820634632172,10.697,3.0
4032,136.478392425719,0.12,1.0
4033,327.31764330047463,4.0,1.0
4035,257.4463846885024,3.69,1.0
4037,138.302456719608,12.0,5.0
4038,269.5330770387747,14.0,1.0
4039,222.04383993775613,11.99,4.0
4040,199.30949425243617,6.69,2.0
4041,144.3986940890521,6.15,3.0
4042,224.03308720087932,3.1,1.0
4043,144.07587505031367,5.75,5.0
4044,143.21786828364495,0.05,1.0
4045,236.4484944613458,0.48,2.0
4046,215.16859370679694,10.69,1.0
4047,244.20391679020696,4.66,1.0
4048,150.0796783109993,8.69,2.0
4049,135.83551086186944,7.2,2.0
4050,249.15611774409862,16.0,3.0
4051,216.1100378902357,6.9,5.0
4052,393.8381509277776,15.507703937007873,6.0
4053,328.85395152063194,7.0,5.0
4054,284.99017039471676,0.9,2.0
4055,142.4484404143657,4.3,5.0
4056,279.2215060672645,15.5,1.0
4057,189.21570608854674,1.2479999999999998,4.0
4058,293.5903851435442,3.3,3.0
4059,142.760610789525,0.14,1.0
4060,346.4366929945474,3.6,2.0
4062,181.38711961798134,12.1,4.0
4063,174.21296579149595,6.0,4.0
4064,141.86084748898233,6.8,5.0
4065,348.72259270638915,8.5,5.0
4066,147.5575881189221,3.99,8.0
4067,281.234551333772,0.095,1.0
4068,141.7163369624274,0.685,5.0
4069,143.3663658259946,0.02,1.0
4070,370.88535545788653,0.65,2.0
4071,179.27781379198697,0.02,1.0
4072,339.1985755038645,0.1,1.0
4073,229.30691733796786,0.02,1.0
4074,177.9424098128954,5.0,4.0
4075,192.1737144033425,8.0,5.0
4076,189.21570608854674,0.635,3.0
4078,196.37463268701273,7.55,6.0
4079,136.87500203950938,0.75,3.0
4081,141.73761192190653,0.85,5.0
4085,228.8786231619911,3.5,1.0
4086,177.55524195625682,6.89,7.0
4088,335.4331322814243,2.75,2.0
4089,374.23755326117987,12.0,2.0
4090,176.8131867393329,2.99,3.0
4091,136.78898807009807,0.7169,4.0
4092,182.76958791362532,0.025,1.0
4093,179.94444341704434,8.2,6.0
4095,227.24696463678984,5.25,2.0
4097,288.4062486514187,1.1,2.0
4098,148.10572667803447,6.8,3.0
4099,146.2952538482156,4.69,2.0
4100,179.44131427924185,9.66,2.0
5701,186.7944190256562,0.6,1.0
5702,174.58199720904696,5.05,1.0
5703,151.8627260998272,1.0,3.0
5704,139.12971361118318,8.511,4.0
5705,186.51000721202797,0.09,1.0
5706,319.60335278046466,15.0,3.0
5707,139.27279396973807,5.95,5.0
5709,241.93465218315788,1.19,3.0
5710,143.51445628322315,2.09,3.0
5711,143.75835927373393,1.48,4.0
5712,235.74315250636408,1.8,1.0
5713,146.00657492946098,0.69,5.0
5714,145.12605666544877,8.19,6.0
5715,246.38020859489495,9.5,5.0
5716,422.3556945344591,6.3,5.0
5717,279.0548632707168,0.15,1.0
5718,322.60335787446365,9.5,3.0
5719,241.70886113023917,1.8,2.0
5720,292.64932278742765,12.0,6.0
5721,139.81936403576887,0.82,3.0
5722,326.4861392766564,13.99,10.0
5724,392.9743526102834,20.0,2.0
5725,289.5063480819529,16.0,3.0
5726,204.76416705890696,0.06,1.0
5727,182.86135028734844,3.5,2.0
5728,146.79870127267284,11.25,6.0
5729,181.37521223350765,0.04,1.0
5730,143.12677930961345,3.95,2.0
5731,150.55642805968807,1.599,3.0
5732,264.5522746228989,1.9,3.0
5733,225.40558111529396,10.0,3.0
5734,200.62406562918397,6.5,5.0
5735,387.45448598066406,0.135,1.0
5736,131.0433582357428,0.69,1.0
5738,257.08688108732963,15.0,4.0
5739,151.9372275759089,6.0,2.0
5740,193.4149695686699,0.1,1.0
5741,293.78733826068685,2.0,1.0
5742,202.63183426855463,12.0,8.0
5743,147.59028566710938,0.83,1.0
5744,427.06474349709066,17.0,3.0
5745,283.26012656983943,4.69,1.0
5746,196.88672708022878,1.8,2.0
5747,136.66616207926128,7.8,10.0
5748,331.79471935685734,13.75,3.0
5749,260.77525224439114,8.9,1.0
5750,143.19719663327118,0.1298,10.0
5751,312.9492634332016,7.5,1.0
5752,191.02411717075495,0.59,1.0
5753,182.5632806563921,0.69,1.0
5754,212.03951244486976,0.69,7.0
5755,133.35534982825365,1.0,1.0
5756,196.3605194989383,6.82,5.0
5757,217.3471851104653,3.33,7.0
5758,148.60014035771545,0.12,1.0
5760,185.03687988879292,2.69,1.0
5761,147.5700974736412,1.17,4.0
5762,179.53798738676005,0.04,3.0
5763,242.23619753128796,6.0,2.0
5764,142.17636048428272,0.5,2.0
5765,233.19339216512353,0.15,1.0
5766,224.78242613863426,6.75,10.0
5767,151.9553501812729,0.04,1.0
5768,180.01871957468117,12.33,5.0
5769,139.66974711255543,1.3,3.0
5770,225.87969566201463,12.0,2.0
5771,145.28951629735275,5.7,2.0
5772,211.90992809814531,11.0,6.0
5773,142.89593745720296,6.969,4.0
5774,229.9407933305841,0.1,1.0
5775,150.2445120855649,9.45,3.0
5776,379.0587632838273,0.14,1.0
5777,182.7318122966191,0.125,2.0
5778,213.81084563697627,0.6551853088480801,3.0
5781,146.25917896027235,0.12,2.0
5782,185.27722990285042,4.0,6.0
5783,201.4699019660399,9.5,4.0
5784,276.0714046213726,3.75,2.0
5786,306.9722729301043,8.5,7.0
5787,232.1823421892699,13.0,4.0
5788,300.9833931650107,5.0,2.0
5789,229.476245886269,0.84,3.0
5790,144.69930932435065,9.49,5.0
5791,266.6246992188716,0.055,1.0
5792,195.18729421593198,8.49,2.0
5793,189.82974922753934,0.605,3.0
5794,143.0722253333479,6.75,5.0
5796,373.3829975005756,20.0,4.0
5798,177.62540901737387,11.82,5.0
5800,218.8926395180729,1.3,2.0
601,181.7831968876816,1.1,3.0
602,286.5558271301532,1.42,1.0
603,138.4383245065737,0.8,8.0
604,402.7482783349971,17.5,3.0
605,144.88779290112473,12.0,9.0
606,399.00791254915794,13.37,2.0
607,189.2455886239753,1.75,5.0
608,144.4949010005724,0.56,3.0
609,142.96343623786527,0.94,3.0
610,184.051361800141,11.4269,4.0
611,259.5525507229852,2.25,3.0
612,326.51461494842886,12.4,4.0
613,351.03765823858816,14.0,5.0
614,343.5732280276011,3.69,1.0
615,196.95599079712858,0.52,1.0
